Date,Country,Region,Region Code,lat,long,Region code,ISO Code,Map Region,Population,Area,Total Cases,Deaths,Recovered,Tests,Tested People,Active Cases,Hospitalized,Quarantined,Intensive Care,Other Hospitalized,Prev Total Cases,Previous Daily Cases,Daily Cases,Daily Deaths,Daily Recovered,Daily Tests,Daily Tested People,Daily Active Cases,Daily Hospitalized,Daily Quarantined,Daily Intensive Care,Daily Other Hospitalized,Weekly Cases,Weekly Deaths,Weekly Recovered,Weekly Tests,Weekly Tested People,Weekly Active Cases,Weekly Hospitalized,Weekly Quarantined,Weekly Intensive Care,Weekly Other Hospitalized,Last Update,note_it,note_en
2020-02-25,ITA,Lombardia,3,45.46679409,9.190347404,3,IT-25,Lombardia,10060574,23864,240,9,0,3700,,231,104,127,25,79,172,58,68,3,0,2237,,65,9,56,6,3,,,,,,,,,,,2020-02-25 18:00:00,,
2020-02-25,ITA,Marche,11,43.61675973,13.5188753,11,IT-57,Marche,1525271,9401,0,0,0,21,,0,0,0,0,0,0,,0,0,0,5,,0,0,0,0,0,,,,,,,,,,,2020-02-25 18:00:00,,
2020-02-25,ITA,Molise,14,41.55774754,14.65916051,14,IT-67,Molise,305617,4461,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,2020-02-25 18:00:00,,
2020-02-25,ITA,Piemonte,1,45.0732745,7.680687483,1,IT-21,Piemonte,4356406,25387,3,0,0,141,,3,2,1,0,2,3,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,2020-02-25 18:00:00,,
2020-02-25,ITA,Puglia,16,41.12559576,16.86736689,16,IT-75,Puglia,4029053,19541,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,2020-02-25 18:00:00,,
2020-02-25,ITA,Sardegna,20,39.21531192,9.110616306,20,IT-88,Sardegna,1639591,24100,0,0,0,1,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,2020-02-25 18:00:00,,
2020-02-25,ITA,Sicilia,19,38.11569725,13.362356699999998,19,IT-82,Sicilia,4999891,25832,3,0,0,5,,3,1,2,0,1,0,,3,0,0,0,,3,1,2,0,1,,,,,,,,,,,2020-02-25 18:00:00,,
2020-02-25,ITA,Toscana,9,43.76923077,11.25588885,9,IT-52,Toscana,3729641,22987,2,0,0,296,,2,2,0,0,2,0,,2,0,0,156,,2,2,0,0,2,,,,,,,,,,,2020-02-25 18:00:00,,
2020-02-25,ITA,P.A. Trento,4,46.06893511,11.12123097,24,IT-32,Trentino-Alto Adige,541380,6207,0,0,0,3,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,2020-02-25 18:00:00,,
2020-02-25,ITA,Umbria,10,43.10675841,12.38824698,10,IT-55,Umbria,882015,8464,0,0,0,8,,0,0,0,0,0,0,,0,0,0,8,,0,0,0,0,0,,,,,,,,,,,2020-02-25 18:00:00,,
2020-02-25,ITA,Valle d'Aosta,2,45.73750286,7.320149366,2,IT-23,Valle d'Aosta,125666,3261,0,0,0,7,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,2020-02-25 18:00:00,,
2020-02-25,ITA,Veneto,5,45.43490485,12.33845213,5,IT-34,Veneto,4905854,18020,43,1,0,3780,,42,19,23,7,12,33,8,10,0,0,1580,,10,3,7,3,0,,,,,,,,,,,2020-02-25 18:00:00,,
2020-02-26,ITA,Abruzzo,13,42.35122196,13.39843823,13,IT-65,Abruzzo,1311580,10832,0,0,0,13,,0,0,0,0,0,0,0,0,0,0,8,,0,0,0,0,0,,,,,,,,,,,2020-02-26 18:00:00,,
